Si. No (Col. 1),Category ,State/UT (Col. 2),Personal Revenge - (Col. 3),Anger - (Col. 4),Fraud - (Col. 5),Extortion - (Col. 6),Causing Disrepute - (Col. 7),Prank - (Col. 8),Sexual Exploitation - (Col. 9),Political Motives - (Col. 10),Terrorist Activities - Terrorist Activities (Total) - (Col. 11),Terrorist Activities - Terrorist Recruitment - (Col. 12),Terrorist Activities - Terrorist Funding - (Col. 13),Terrorist Activities - Others - (Col. 14),Inciting Hate against Country - (Col. 15),Disrupt Public Service - (Col. 16),Sale Purchase illegal drugs - (Col. 17),Developing own business - (Col. 18),Spreading Piracy - (Col. 19),Psycho or Pervert - (Col. 20),Steal Information - (Col. 21),Abetment to Suicide - (Col. 22),Others - (Col. 23),Total - (Col. 24)
1,State,Andhra Pradesh,83,39,1149,56,15,2,169,67,0,0,0,0,0,2,0,42,0,0,4,0,271,1899
2,State,Arunachal Pradesh,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,30
3,State,Assam,654,164,242,447,85,35,483,24,0,0,0,0,58,12,0,3,0,0,0,0,1323,3530
4,State,Bihar,84,34,1218,102,19,12,32,7,0,0,0,0,0,1,0,3,0,0,0,0,0,1512
5,State,Chhattisgarh,0,1,75,7,41,0,35,0,2,0,0,2,0,0,0,1,0,0,0,0,135,297
6,State,Goa,0,0,25,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
7,State,Gujarat,6,31,875,26,203,43,37,3,0,0,0,0,6,8,2,5,4,0,0,0,34,1283
8,State,Haryana,14,3,157,17,9,1,70,1,0,0,0,0,0,2,0,8,6,0,0,0,368,656
9,State,Himachal Pradesh,2,1,19,9,15,0,34,3,0,0,0,0,0,1,0,6,1,0,1,0,6,98
10,State,Jharkhand,4,4,1069,14,2,0,13,0,7,7,0,0,0,7,13,0,0,0,49,0,22,1204
11,State,Karnataka,147,13,9680,74,368,0,191,18,0,0,0,0,3,1,2,17,4,0,0,0,223,10741
12,State,Kerala,44,34,96,21,58,10,138,10,0,0,0,0,0,0,0,0,1,0,0,0,14,426
13,State,Madhya Pradesh,7,6,292,13,66,2,119,3,0,0,0,0,0,0,0,7,0,0,0,0,184,699
14,State,Maharashtra,36,105,3413,45,76,32,612,9,0,0,0,0,3,2,0,14,0,0,0,0,1149,5496
15,State,Manipur,0,2,40,0,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,14,79
16,State,Meghalaya,6,10,81,7,9,0,9,1,1,0,0,1,0,0,0,0,0,0,1,0,17,142
17,State,Mizoram,0,0,3,0,2,3,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,13
18,State,Nagaland,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
19,State,Odisha,1,33,1380,175,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1931
20,State,Punjab,4,19,164,29,19,3,58,2,0,0,0,0,7,2,0,1,3,0,0,0,67,378
21,State,Rajasthan,22,10,641,42,73,11,67,4,0,0,0,0,4,0,0,17,0,0,0,0,463,1354
22,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,State,Tamil Nadu,83,57,134,112,43,7,192,108,0,0,0,0,0,16,0,0,19,0,0,0,11,782
24,State,Telangana,96,24,4436,115,3,0,85,8,0,0,0,0,0,1,0,0,0,0,0,0,256,5024
25,State,Tripura,14,1,11,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,34
26,State,Uttar Pradesh,78,210,4674,1055,547,87,560,73,96,0,0,96,82,35,0,76,36,0,5,0,3483,11097
27,State,Uttarakhand,11,5,98,33,6,0,44,1,0,0,0,0,0,0,4,2,0,0,0,0,39,243
28,State,West Bengal,66,8,72,12,3,3,44,1,0,0,0,0,0,0,0,1,0,0,0,0,502,712
Total State(s),Total State(s),Total State(s),1463,814,30075,2411,1678,252,3249,355,109,7,0,102,163,90,21,203,75,0,62,0,8688,49708
29,Union Territories,A & N Islands,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
30,Union Territories,Chandigarh,0,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
31,Union Territories,D & N Haveli and Daman & Diu,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,Union Territories,Delhi,2,4,23,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,104,168
33,Union Territories,Jammu & Kashmir,3,4,33,9,28,2,12,1,4,0,0,4,2,1,0,7,0,0,0,0,14,120
34,Union Territories,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,Union Territories,Lakshadweep,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
36,Union Territories,Puducherry,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Total UT(s),Total UT(s),Total UT(s),7,8,67,29,28,2,44,1,4,0,0,4,2,2,0,7,0,0,0,0,126,327
Total All India,Total All India,Total All India,1470,822,30142,2440,1706,254,3293,356,113,7,0,106,165,92,21,210,75,0,62,0,8814,50035
